x,y,z,type
-602.6061751131932,158.1442475608086,0.0,CAF
188.09122208911208,-570.6311600638134,0.0,CAF
603.4580792819211,-406.71907625615137,0.0,CAF
225.48917934688689,477.25864867495943,0.0,CAF
112.35757723858285,182.7954297566472,0.0,CAF
127.79039342953024,-677.3734809066581,0.0,CAF
623.1980975199815,382.05517907271997,0.0,CAF
-310.65416624448926,-268.3164363068523,0.0,CAF
741.8766129657113,-716.6786863033757,0.0,CAF
665.809199690867,176.23131741178486,0.0,CAF
745.3732345537735,469.8044871985901,0.0,CAF
693.3371478296112,-349.86718798115794,0.0,CAF
432.34613374974924,677.5355969984682,0.0,CAF
792.0690264888951,-426.7769691840356,0.0,CAF
78.71054132072959,638.8502472469072,0.0,CAF
691.7159869115096,-598.5564515648375,0.0,CAF
207.38621576141918,625.6584476192179,0.0,CAF
213.72781582340463,499.4780894936455,0.0,CAF
79.58469671774515,771.4993553103948,0.0,CAF
276.58753573606873,-608.1721609320086,0.0,CAF
772.1064959679582,338.4268778943981,0.0,CAF
694.7040089958539,397.5515702016319,0.0,CAF
-601.2393139469507,-676.4357505716778,0.0,CAF
77.32778641999596,440.00373502760544,0.0,CAF
686.9160790951698,-383.62548004044953,0.0,CAF
185.85020552585422,-597.0465467881743,0.0,CAF
113.67675720135185,566.7880550638433,0.0,CAF
619.6855821974282,-528.1631015033486,0.0,CAF
638.2812515521225,-704.5199794176139,0.0,CAF
237.60020502917519,-682.3641135368923,0.0,CAF
589.43980546069,375.4751729933664,0.0,CAF
-775.0055131391516,273.7234847807558,0.0,CAF
705.5912171223201,217.4755584164277,0.0,CAF
589.7576801505136,206.5565628209789,0.0,CAF
-365.51933770808364,-367.9542578321343,0.0,CAF
-637.8902656836392,-610.5403273711962,0.0,CAF
-761.0826017248676,389.50934054908885,0.0,CAF
689.0140520480072,-449.52090324093115,0.0,CAF
601.1058065772247,-245.9062706742718,0.0,CAF
745.5321718986854,191.6482398682408,0.0,CAF
150.86809591074086,-725.1818342561634,0.0,CAF
-272.3025849172433,143.69684290831503,0.0,CAF
-707.77501624141,-697.733354789875,0.0,CAF
674.9004158198288,125.2918983675147,0.0,CAF
42.47282668081209,714.7587231768396,0.0,CAF
658.8954251871985,-753.2819568365906,0.0,CAF
775.5077551490733,-725.0387906457427,0.0,CAF
-599.2208096665693,-711.2907103108616,0.0,CAF
75.40464454656171,693.3498628172042,0.0,CAF
759.4550833129695,-212.49764077378643,0.0,CAF
654.8107354229621,-580.3422318379316,0.0,CAF
99.29292748682292,546.7937370739237,0.0,CAF
294.89711786992166,18.851558480002723,0.0,CAF
62.26052612234605,-556.3426927562318,0.0,CAF
691.9702866633688,608.7951953240633,0.0,CAF
652.4584627182658,-673.2570036734394,0.0,CAF
760.7106883377737,-686.385228363164,0.0,CAF
528.9959331906871,-558.2817283641573,0.0,CAF
-726.1163858442453,-748.5456239582154,0.0,CAF
225.60043548832505,640.3760457580615,0.0,CAF
582.573712160495,187.2456754141807,0.0,CAF
717.3207931768197,-277.4712273737789,0.0,CAF
750.0777799631664,-19.690747661137493,0.0,CAF
716.7804062041193,-115.48228543955099,0.0,CAF
198.1042748185631,693.8107811174489,0.0,CAF
151.75814504224763,-667.837240211943,0.0,CAF
648.4214541575029,536.6694282030346,0.0,CAF
151.5992076973356,642.4263375074254,0.0,CAF
769.8654794047004,-336.1667888497505,0.0,CAF
770.6283786602776,-365.7291350033674,0.0,CAF
748.1546380897321,576.2289333516112,0.0,CAF
770.3899726429095,-178.11949306933832,0.0,CAF
337.28570775793037,-614.9746792942387,0.0,CAF
210.37423784576333,587.0207790711304,0.0,CAF
77.05759293364576,412.0625497920903,0.0,CAF
752.9704396405632,-476.04754610673046,0.0,CAF
782.6440419356186,-76.54263593613098,0.0,CAF
611.5162026689554,-201.57864517833752,0.0,CAF
149.3422973995862,606.0932604605607,0.0,CAF
551.4696737612323,-662.4174767504466,0.0,CAF
760.2020888340555,-278.4407451777415,0.0,CAF
-85.61477958370324,678.7912020232725,0.0,CAF
728.2874699757422,717.3970831023776,0.0,CAF
502.5487589973436,654.1877010309074,0.0,CAF
629.8416785372997,274.8996211331039,0.0,CAF
-524.488470088985,-608.8238040461475,0.0,CAF
64.81941737542786,582.6817895550353,0.0,CAF
85.70378449685393,756.0665391194475,0.0,CAF
724.2186739459971,-29.338244497291043,0.0,CAF
672.198480956326,262.24820847811543,0.0,CAF
621.2431681775649,-717.123710869129,0.0,CAF
-711.1603816880338,-721.1448256954006,0.0,CAF
553.488178041614,-562.2869494559376,0.0,CAF
486.70270570962543,161.70444408683545,0.0,CAF
228.23879541386304,590.533294393684,0.0,CAF
670.7521511176276,94.4898409235849,0.0,CAF
